feature,mean_abs_shap,std_abs_shap,max_abs_shap,sum_abs_shap,num_folds_present
A2M (2),2.9174365363405236e-05,,2.9174365363405236e-05,2.9174365363405236e-05,1
SERPINB1 (1992),2.86149110549991e-05,,2.86149110549991e-05,2.86149110549991e-05,1
NOTCH3 (4854),2.8467251218434978e-05,,2.8467251218434978e-05,2.8467251218434978e-05,1
FST (10468),2.844393402618593e-05,,2.844393402618593e-05,2.844393402618593e-05,1
FGFBP1 (9982),2.8418269630946e-05,,2.8418269630946e-05,2.8418269630946e-05,1
ATP8B1 (5205),2.8254856781259384e-05,,2.8254856781259384e-05,2.8254856781259384e-05,1
FGFR4 (2264),2.8170846083294957e-05,,2.8170846083294957e-05,2.8170846083294957e-05,1
SFRP1 (6422),2.8064000937349486e-05,,2.8064000937349486e-05,2.8064000937349486e-05,1
NES (10763),2.80521083386365e-05,,2.80521083386365e-05,2.80521083386365e-05,1
NR2F2 (7026),2.8046486242146636e-05,,2.8046486242146636e-05,2.8046486242146636e-05,1
DLX5 (1749),2.8015686265105326e-05,,2.8015686265105326e-05,2.8015686265105326e-05,1
COTL1 (23406),2.799706891147975e-05,,2.799706891147975e-05,2.799706891147975e-05,1
DAPP1 (27071),2.799177667713947e-05,,2.799177667713947e-05,2.799177667713947e-05,1
ME3 (10873),2.7953086696224664e-05,,2.7953086696224664e-05,2.7953086696224664e-05,1
ZSCAN18 (65982),2.776545509904959e-05,,2.776545509904959e-05,2.776545509904959e-05,1
LMCD1 (29995),2.766171558278717e-05,,2.766171558278717e-05,2.766171558278717e-05,1
GNG12 (55970),2.7487255353282298e-05,,2.7487255353282298e-05,2.7487255353282298e-05,1
APOBEC3C (27350),2.733043050073302e-05,,2.733043050073302e-05,2.733043050073302e-05,1
SYK (6850),2.7285482252237456e-05,,2.7285482252237456e-05,2.7285482252237456e-05,1
IGFBP4 (3487),2.7082993771270528e-05,,2.7082993771270528e-05,2.7082993771270528e-05,1
GLUL (2752),2.696552081946565e-05,,2.696552081946565e-05,2.696552081946565e-05,1
MMP1 (4312),2.6798246032627085e-05,,2.6798246032627085e-05,2.6798246032627085e-05,1
SHISA2 (387914),2.6533466852776908e-05,,2.6533466852776908e-05,2.6533466852776908e-05,1
SLC16A4 (9122),2.6530676443396775e-05,,2.6530676443396775e-05,2.6530676443396775e-05,1
ADAM23 (8745),2.6422807350931814e-05,,2.6422807350931814e-05,2.6422807350931814e-05,1
PLEKHA6 (22874),2.6091667357664588e-05,,2.6091667357664588e-05,2.6091667357664588e-05,1
SPOCD1 (90853),2.605418176552496e-05,,2.605418176552496e-05,2.605418176552496e-05,1
SDC3 (9672),2.5995801349892802e-05,,2.5995801349892802e-05,2.5995801349892802e-05,1
MCTP2 (55784),2.5950897617293188e-05,,2.5950897617293188e-05,2.5950897617293188e-05,1
TUBB2B (347733),2.5920751999191622e-05,,2.5920751999191622e-05,2.5920751999191622e-05,1
MFGE8 (4240),2.579579466150743e-05,,2.579579466150743e-05,2.579579466150743e-05,1
VAV3 (10451),2.5690321181237506e-05,,2.5690321181237506e-05,2.5690321181237506e-05,1
PRSS21 (10942),2.5591565388277777e-05,,2.5591565388277777e-05,2.5591565388277777e-05,1
H2AJ (55766),2.5571353678533535e-05,,2.5571353678533535e-05,2.5571353678533535e-05,1
ARHGAP4 (393),2.5558559327866414e-05,,2.5558559327866414e-05,2.5558559327866414e-05,1
LEF1 (51176),2.5522409086461508e-05,,2.5522409086461508e-05,2.5522409086461508e-05,1
CTTN (2017),2.5220395570150175e-05,,2.5220395570150175e-05,2.5220395570150175e-05,1
A4GALT (53947),2.5154978760101877e-05,,2.5154978760101877e-05,2.5154978760101877e-05,1
CDIP1 (29965),2.5102935682086795e-05,,2.5102935682086795e-05,2.5102935682086795e-05,1
LPAR6 (10161),2.5101903112354037e-05,,2.5101903112354037e-05,2.5101903112354037e-05,1
MTARC1 (64757),2.4829662498030985e-05,,2.4829662498030985e-05,2.4829662498030985e-05,1
TMT1B (196410),2.4820631268069037e-05,,2.4820631268069037e-05,2.4820631268069037e-05,1
LRP1 (4035),2.47274412976294e-05,,2.47274412976294e-05,2.47274412976294e-05,1
MLPH (79083),2.468881883150224e-05,,2.468881883150224e-05,2.468881883150224e-05,1
ALOX5AP (241),2.4567754877844228e-05,,2.4567754877844228e-05,2.4567754877844228e-05,1
C19orf33 (64073),2.454722799638611e-05,,2.454722799638611e-05,2.454722799638611e-05,1
MACROH2A2 (55506),2.45189157328022e-05,,2.45189157328022e-05,2.45189157328022e-05,1
CDH6 (1004),2.4417327954290024e-05,,2.4417327954290024e-05,2.4417327954290024e-05,1
SPOCK2 (9806),2.4415162544839163e-05,,2.4415162544839163e-05,2.4415162544839163e-05,1
APBB1IP (54518),2.4383372800248927e-05,,2.4383372800248927e-05,2.4383372800248927e-05,1
ZNF677 (342926),2.4202468109794975e-05,,2.4202468109794975e-05,2.4202468109794975e-05,1
GABRE (2564),2.420176594651644e-05,,2.420176594651644e-05,2.420176594651644e-05,1
LIMD2 (80774),2.4162512567677748e-05,,2.4162512567677748e-05,2.4162512567677748e-05,1
SLITRK6 (84189),2.414615003331467e-05,,2.414615003331467e-05,2.414615003331467e-05,1
IFIT3 (3437),2.3999692166012218e-05,,2.3999692166012218e-05,2.3999692166012218e-05,1
HMGA2 (8091),2.3981360593153098e-05,,2.3981360593153098e-05,2.3981360593153098e-05,1
DBNDD1 (79007),2.3971923997331886e-05,,2.3971923997331886e-05,2.3971923997331886e-05,1
HKDC1 (80201),2.3927105463614868e-05,,2.3927105463614868e-05,2.3927105463614868e-05,1
ISG15 (9636),2.3792458295119592e-05,,2.3792458295119592e-05,2.3792458295119592e-05,1
PLBD1 (79887),2.3752790846986896e-05,,2.3752790846986896e-05,2.3752790846986896e-05,1
GLB1L2 (89944),2.3658912268500707e-05,,2.3658912268500707e-05,2.3658912268500707e-05,1
DMKN (93099),2.3604840415032142e-05,,2.3604840415032142e-05,2.3604840415032142e-05,1
FGF2 (2247),2.3570712044040198e-05,,2.3570712044040198e-05,2.3570712044040198e-05,1
IGFBPL1 (347252),2.351088215989667e-05,,2.351088215989667e-05,2.351088215989667e-05,1
